date,region,avg_temperature_c,precipitation_mm,co2_ppm,temperature_anomaly_c,humidity_percent,Year,Month
01-01-2010,West,3.37,47.39,388.64,-0.24,53.69,2010,January
02-01-2010,Central,13.50,22.00,391.97,0.05,81.52,2010,January
03-01-2010,East,10.85,83.16,387.47,-0.33,59.11,2010,January
04-01-2010,Central,8.48,50.35,391.20,-0.53,51.05,2010,January
05-01-2010,Central,10.05,64.55,388.14,0.02,70.34,2010,January
06-01-2010,South,15.44,34.10,392.87,0.38,72.93,2010,January
07-01-2010,East,20.32,70.90,387.74,0.28,73.01,2010,January
08-01-2010,East,16.26,40.95,391.79,-0.02,61.74,2010,January
09-01-2010,East,12.58,56.46,389.95,0.53,68.05,2010,January
10-01-2010,Central,16.83,81.95,389.53,-0.17,57.20,2010,January
11-01-2010,West,13.17,79.77,390.37,-0.57,85.10,2010,January
12-01-2010,East,12.23,59.45,391.05,-0.65,78.73,2010,January
13-01-2010,Central,10.39,15.80,388.75,-0.35,78.00,2010,January
14-01-2010,South,8.00,134.82,388.89,0.25,74.53,2010,January
15-01-2010,West,13.45,103.65,391.10,-0.18,71.24,2010,January
16-01-2010,South,15.64,78.07,387.57,0.15,50.07,2010,January
17-01-2010,West,14.62,41.17,389.27,0.50,72.60,2010,January
18-01-2010,Central,13.34,57.16,394.71,-0.32,66.37,2010,January
19-01-2010,North,11.23,46.41,388.71,0.15,80.16,2010,January
20-01-2010,West,17.44,91.60,391.89,0.17,74.69,2010,January
21-01-2010,South,9.74,66.56,389.30,-0.25,71.60,2010,January
22-01-2010,Central,18.11,40.40,390.95,0.42,44.79,2010,January
23-01-2010,West,11.00,48.23,391.18,-0.08,63.93,2010,January
24-01-2010,North,12.00,88.03,391.90,-0.10,58.31,2010,January
25-01-2010,North,9.14,100.00,389.92,0.65,68.03,2010,January
26-01-2010,East,13.01,98.21,393.21,0.17,60.01,2010,January
27-01-2010,East,18.91,78.93,389.35,0.29,61.69,2010,January
28-01-2010,South,17.08,53.68,390.59,0.42,70.51,2010,January
29-01-2010,West,18.93,21.04,390.62,-0.18,59.81,2010,January
30-01-2010,West,17.10,67.43,388.58,0.39,66.46,2010,January
31-01-2010,East,10.60,59.95,389.84,-0.14,46.77,2010,January
01-02-2010,West,13.69,63.50,390.52,-0.15,55.01,2010,February
02-02-2010,West,11.90,61.35,389.64,-0.07,72.87,2010,February
03-02-2010,North,20.34,26.84,393.96,-0.17,50.24,2010,February
04-02-2010,East,10.23,73.94,389.05,0.26,79.95,2010,February
05-02-2010,Central,18.59,75.81,392.08,0.10,76.69,2010,February
06-02-2010,East,18.59,77.06,391.61,-0.13,61.78,2010,February
07-02-2010,Central,22.34,83.66,390.31,0.22,100.00,2010,February
08-02-2010,North,13.38,75.10,389.04,-0.06,79.92,2010,February
09-02-2010,South,17.87,49.75,389.20,-0.08,53.61,2010,February
10-02-2010,West,24.15,58.23,389.58,0.03,73.95,2010,February
