date,region,avg_temperature_c,precipitation_mm,co2_ppm,temperature_anomaly_c,humidity_percent
01-01-2010,West,3.37,47.39,388.64,-0.24,53.69
02-01-2010,Central,13.50,22.00,391.97,0.05,81.52
03-01-2010,East,10.85,83.16,387.47,-0.33,59.11
04-01-2010,Central,8.48,50.35,391.20,-0.53,51.05
05-01-2010,Central,10.05,64.55,388.14,0.02,70.34
06-01-2010,South,15.44,34.10,392.87,0.38,72.93
07-01-2010,East,20.32,70.90,387.74,0.28,73.01
08-01-2010,East,16.26,40.95,391.79,-0.02,61.74
09-01-2010,East,12.58,56.46,389.95,0.53,68.05
10-01-2010,Central,16.83,81.95,389.53,-0.17,57.20
11-01-2010,West,13.17,79.77,390.37,-0.57,85.10
12-01-2010,East,12.23,59.45,391.05,-0.65,78.73
13-01-2010,Central,10.39,15.80,388.75,-0.35,78.00
14-01-2010,South,8.00,134.82,388.89,0.25,74.53
15-01-2010,West,13.45,103.65,391.10,-0.18,71.24
16-01-2010,South,15.64,78.07,387.57,0.15,50.07
17-01-2010,West,14.62,41.17,389.27,0.50,72.60
18-01-2010,Central,13.34,57.16,394.71,-0.32,66.37
19-01-2010,North,11.23,46.41,388.71,0.15,80.16
20-01-2010,West,17.44,91.60,391.89,0.17,74.69
21-01-2010,South,9.74,66.56,389.30,-0.25,71.60
22-01-2010,Central,18.11,40.40,390.95,0.42,44.79
23-01-2010,West,11.00,48.23,391.18,-0.08,63.93
24-01-2010,North,12.00,88.03,391.90,-0.10,58.31
25-01-2010,North,9.14,100.00,389.92,0.65,68.03
26-01-2010,East,13.01,98.21,393.21,0.17,60.01
27-01-2010,East,18.91,78.93,389.35,0.29,61.69
28-01-2010,South,17.08,53.68,390.59,0.42,70.51
29-01-2010,West,18.93,21.04,390.62,-0.18,59.81
30-01-2010,West,17.10,67.43,388.58,0.39,66.46
31-01-2010,East,10.60,59.95,389.84,-0.14,46.77
01-02-2010,West,13.69,63.50,390.52,-0.15,55.01
02-02-2010,West,11.90,61.35,389.64,-0.07,72.87
03-02-2010,North,20.34,26.84,393.96,-0.17,50.24
04-02-2010,East,10.23,73.94,389.05,0.26,79.95
05-02-2010,Central,18.59,75.81,392.08,0.10,76.69
06-02-2010,East,18.59,77.06,391.61,-0.13,61.78
07-02-2010,Central,22.34,83.66,390.31,0.22,100.00
08-02-2010,North,13.38,75.10,389.04,-0.06,79.92
09-02-2010,South,17.87,49.75,389.20,-0.08,53.61
10-02-2010,West,24.15,58.23,389.58,0.03,73.95
11-02-2010,North,12.55,62.28,387.69,0.16,65.79
12-02-2010,West,8.88,62.69,388.87,0.14,55.68
13-02-2010,South,7.50,84.96,388.16,-0.09,52.16
14-02-2010,South,17.87,76.09,392.41,0.28,76.94
15-02-2010,North,7.49,111.93,391.33,-0.04,57.82
16-02-2010,South,13.53,115.16,391.59,-0.17,63.78
17-02-2010,Central,16.77,61.99,391.31,-0.42,53.95
18-02-2010,South,15.76,35.92,390.68,0.32,56.02
19-02-2010,West,16.73,90.92,392.63,0.03,63.48
20-02-2010,West,15.91,46.49,389.53,0.09,69.66
21-02-2010,West,20.14,39.96,390.62,0.34,33.94
22-02-2010,West,11.22,50.04,391.59,-0.12,65.20
23-02-2010,Central,12.32,48.83,388.50,-0.39,56.05
24-02-2010,East,11.94,75.31,395.13,0.05,81.83
25-02-2010,North,18.35,21.01,390.54,0.12,100.00
26-02-2010,West,18.63,33.06,390.72,-0.05,60.69
27-02-2010,South,16.83,68.58,392.40,0.47,44.33
28-02-2010,West,19.76,75.57,391.89,-0.72,66.40
01-03-2010,South,10.32,76.04,390.59,0.37,62.53
02-03-2010,South,21.70,40.32,390.74,0.27,88.66
03-03-2010,West,21.12,35.54,388.29,0.17,85.00
04-03-2010,Central,17.97,47.33,389.72,-0.97,75.38
05-03-2010,South,22.16,66.00,391.34,0.42,57.96
06-03-2010,South,8.41,97.14,391.24,-0.28,73.13
07-03-2010,West,12.93,8.81,392.42,-0.12,68.18
08-03-2010,South,12.09,54.48,390.41,-0.02,67.90
09-03-2010,South,17.92,26.68,388.52,0.16,46.30
10-03-2010,West,10.83,18.69,392.20,0.23,77.74
11-03-2010,West,18.06,84.17,392.78,0.30,66.29
12-03-2010,North,20.52,73.62,391.98,0.28,63.79
13-03-2010,Central,17.82,71.24,390.39,0.11,57.80
14-03-2010,Central,16.17,83.03,392.21,0.16,55.48
15-03-2010,South,11.09,48.01,395.80,-0.29,68.81
16-03-2010,Central,11.65,49.18,390.84,-0.19,44.01
17-03-2010,South,20.04,114.64,388.71,0.31,74.47
18-03-2010,North,18.16,53.84,389.80,0.29,52.35
19-03-2010,West,14.88,78.38,391.63,0.26,40.30
20-03-2010,West,13.37,60.16,388.29,-0.12,86.86
21-03-2010,West,6.94,13.79,390.97,0.31,54.70
22-03-2010,Central,10.76,8.88,391.29,-0.31,56.33
23-03-2010,North,22.69,45.53,393.03,0.36,78.61
24-03-2010,Central,9.92,86.40,392.70,-0.04,87.25
25-03-2010,Central,15.80,79.71,392.04,0.55,46.60
26-03-2010,North,19.07,82.85,387.51,-0.41,53.53
27-03-2010,North,10.02,35.32,392.15,0.57,54.41
28-03-2010,North,15.78,100.40,391.83,-0.07,76.22
29-03-2010,North,18.80,35.88,391.17,-0.07,84.67
30-03-2010,West,15.09,65.32,388.20,0.10,52.04
31-03-2010,East,26.52,59.74,389.64,-0.16,81.98
01-04-2010,East,8.37,55.65,389.06,0.02,56.49
02-04-2010,North,19.28,93.46,387.80,-0.18,69.03
03-04-2010,East,14.35,42.37,390.82,-0.16,49.74
04-04-2010,East,18.13,26.26,389.64,0.19,63.54
05-04-2010,North,16.81,60.50,394.78,-0.22,63.67
06-04-2010,East,12.11,50.00,390.60,-0.18,61.22
07-04-2010,Central,15.96,144.43,392.80,-0.36,69.62
08-04-2010,South,7.62,76.91,388.52,-0.10,52.92
09-04-2010,South,17.46,49.77,390.09,0.44,54.40
10-04-2010,North,16.24,33.60,391.04,-0.20,70.25
11-04-2010,West,17.60,12.99,389.54,-0.17,81.10
12-04-2010,North,19.28,34.37,390.28,0.11,64.73
13-04-2010,West,16.52,62.87,390.59,-0.06,71.04
14-04-2010,South,15.64,95.68,390.58,0.72,74.10
15-04-2010,North,11.53,88.04,393.72,0.00,74.97
16-04-2010,Central,12.20,65.73,391.51,0.15,53.56
17-04-2010,East,19.80,51.92,391.67,0.34,55.68
18-04-2010,West,20.80,66.72,391.77,0.33,56.72
19-04-2010,East,14.10,47.03,391.89,0.12,88.14
20-04-2010,East,15.24,102.96,390.86,0.01,71.10
21-04-2010,North,11.44,55.27,390.51,0.66,70.56
22-04-2010,East,19.75,57.84,391.25,0.03,69.39
23-04-2010,Central,17.72,4.60,392.74,-0.08,49.15
24-04-2010,East,22.82,55.11,392.71,-0.14,88.26
25-04-2010,North,11.54,80.91,390.67,-0.46,70.75
26-04-2010,Central,13.55,33.31,392.19,0.30,73.68
27-04-2010,South,15.98,41.23,390.75,-0.65,43.81
28-04-2010,East,17.64,79.82,391.10,0.06,74.36
29-04-2010,North,14.20,23.08,390.35,0.00,60.73
30-04-2010,South,11.57,86.45,390.80,0.73,49.13
01-05-2010,South,18.59,46.70,393.09,-0.49,53.55
02-05-2010,West,17.95,50.29,391.23,-0.21,49.82
03-05-2010,Central,11.40,31.90,391.30,0.02,49.62
04-05-2010,East,20.48,69.45,388.94,0.00,65.73
05-05-2010,North,19.74,121.50,390.65,-0.10,60.36
06-05-2010,West,15.60,79.54,390.76,0.04,69.01
07-05-2010,Central,15.38,38.39,389.89,-0.31,85.11
08-05-2010,West,17.28,88.39,391.18,0.17,63.45
09-05-2010,Central,11.62,52.08,390.51,-0.63,38.06
10-05-2010,Central,15.18,94.36,391.28,0.06,62.10
11-05-2010,East,6.46,80.17,391.35,-0.12,79.32
12-05-2010,Central,18.57,13.58,389.75,0.37,63.97
